24,NG002,ADAMAWA,NG002021,YOLA SOUTH,NG002021004,NAMTARI,AD_S003,MALKOHI CAMP,12.38553,9.19624,Click to open on google map,Formal,Spontaneous,Camp,"104,554 sq.m",Government,NEMA/SEMA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Public/Government,Emergency shelter,228,915,37,35,83,101,148,150,135,154,51,21,Yes,Insurgency ,None,Place of origin,Access to better services ,NULL,None,>75%,None,<50%,<25%,>75%,<25%,<75%,Solar lamp,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),86,Burning,No,None,Yes,No,"Yes, on site",Yes,Once a month,Cash (personal money),Yes,Malaria,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,>75%,Daily labourer,150,Yes,Yes,Yes,"Friends, neighbors and family",Distribution,No
24,NG002,ADAMAWA,NG002021,YOLA SOUTH,NG002021004,NAMTARI,AD_S004,MALKOHI VILLAGE,12.37614,9.19288,Click to open on google map,Informal,Spontaneous,Camp,"52,341 sq.m",None,NULL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Public/Government,Emergency shelter,460,2807,77,80,256,226,449,437,599,575,64,44,Yes,Insurgency ,None,Place of origin,To join family members,NULL,None,>75%,<25%,None,None,<50%,<25%,<25%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),120,Burning,No,None,Yes,No,"Yes, on site",Yes,Irregular,Cash (personal money),Yes,Diarrhea,No,Yes,On-site (<3 km),INGO,Yes,On-site,<75%,Daily labourer,450,Yes,Yes,Yes,"Friends, neighbors and family",Distribution,No
24,NG002,ADAMAWA,NG002004,GIREI,NG002004008,MODIRE/ VINIKILANG,AD_S005,EYN CHURCH VINIKILANG,12.47378,9.30329,Click to open on google map,Informal,Spontaneous,Collective Settlement/Centre,"34,983 sq.m",None,NULL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Public/Government,Emergency shelter,14,80,2,2,5,6,13,16,13,16,2,5,No,Insurgency ,None,Place of origin,NULL,House damaged/destroyed,None,>75%,<25%,None,None,<25%,None,<50%,Blankets/Mats,On-site (<10 mn),Protected well,10 - 15 ltr,Yes,No,Good (Hygienic),6,No waste disposal system,Yes,None,No,Yes,"Yes, on site",Yes,Irregular,Cash (personal money),No,Malaria,No,Yes,Off-site (<3 km),Government,Yes,Off-site,<25%,Daily labourer,10,Yes,No,No,"Friends, neighbors and family",Other relief assistance,No
24,NG002,ADAMAWA,NG002002,FUFORE,NG002002007,PARIYA,AD_S006,DAWARE CAMP,12.59718,9.41825,Click to open on google map,Informal,Spontaneous,Camp,"4,299 sq.m",None,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Public/Government,Emergency shelter,343,1873,17,20,33,48,636,438,396,231,31,23,Yes,Insurgency ,None,Place of origin,To join family members,NULL,None,<75%,<50%,<25%,<25%,<25%,<25%,<75%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),0,Burning,Yes,None,Yes,Yes,"Yes, on site",Yes,Irregular,Cash (personal money),Yes,Malaria,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<50%,Farming,60,Yes,Yes,Yes,Local leader/Community leader,Situation in areas of origin,Yes
24,NG002,ADAMAWA,NG002020,YOLA NORTH,NG002020008,LUGGERE,AD_S008,ST THERESAS CATHEDRAL,12.44666,9.27306,Click to open on google map,Informal,Spontaneous,Collective Settlement/Centre,"16,180 sq.m",Religious entity,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Private Building,Emergency shelter,120,564,6,8,42,52,114,126,74,135,3,4,Yes,Insurgency ,None,Place of origin,Rebuild personal shelter,NULL,None,<75%,None,<50%,<75%,<50%,None,<75%,Solar lamp,On-site (<10 mn),Piped water supply,5 - 10 ltr,Yes,No,Good (Hygienic),47,Burning,No,Yes,Yes,No,"Yes, on site",Yes,Once a week,Distribution,Yes,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<75%,Petty trade,51,Yes,Yes,Yes,Religious leader,Other relief assistance,No
24,NG002,ADAMAWA,NG002018,SONG,NG002018008,SONG GARI,AD_S018,SHAGARI QUARTERS CAMP,12.6131,9.80547,Click to open on google map,Informal,Spontaneous,Collective Settlement/Centre,"121,611 sq.m",None,NULL,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Public/Government,Government building,17,72,4,5,10,12,10,10,10,11,0,0,Yes,Insurgency ,None,Place of origin,Improved security ,NULL,None,None,None,>75%,<50%,<25%,None,<25%,Blankets/Mats,On-site (<10 mn),Hand pumps,>15 ltr,Yes,No,Not so good (Not hygienic),4,Garbage pit,Yes,None,No,No,"Yes, on site",Yes,Irregular,Host community donation,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,<25%,Farming,7,Yes,Yes,Yes,Religious leader,Other relief assistance,No
24,NG002,ADAMAWA,NG002002,FUFORE,NG002002003,FUFORE,AD_S019,FUFORE CAMP,12.67751,9.20771,Click to open on google map,Formal,Spontaneous,Collective Settlement/Centre,"76,458 sq.m",Government,NEMA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Private Building,Emergency shelter,339,1506,27,38,132,144,188,216,305,386,30,40,Yes,Insurgency ,None,Place of origin,To join family members,NULL,None,<75%,None,<50%,<25%,<25%,<25%,<75%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),75,Burning,No,None,Yes,Yes,"Yes, on site",Yes,Once a week,Distribution,Yes,Malaria,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<50%,Petty trade,75,Yes,Yes,Yes,Government official,Situation in areas of origin,Yes
24,NG002,ADAMAWA,NG002015,MUBI SOUTH,NG002015004,GUDE,AD_S021,MUBI BURNT BRICKS FACTORY,13.2954,10.26436,Click to open on google map,Informal,For Relocation,Transitional Centre,"37,170 sq.m",INGO,UNHCR/IRC/NRSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Public/Government,Emergency shelter,29,63,2,1,0,6,2,21,1,27,2,1,No,Insurgency ,Storm,Place of origin,Access to better services ,NULL,None,<75%,None,None,None,<25%,None,<25%,Blankets/Mats,On-site (<10 mn),Water truck,>15 ltr,Yes,No,Not so good (Not hygienic),6,Burning,No,None,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,Malaria,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<50%,None,0,No,Yes,No,Aid worker,Situation in areas of origin,No
24,NG002,ADAMAWA,NG002021,YOLA SOUTH,NG002021001,ADARAWO,AD_S027,DOKKITILLA WUROCHEKKE,12.51337,9.20922,Click to open on google map,Informal,Spontaneous,Collective Settlement/Centre,"4,583 sq.m",Individual/Private,N/A,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Private Building,Host family house,18,81,4,6,5,8,14,12,18,11,2,1,No,Insurgency ,None,Place of origin,To join family members,NULL,None,<25%,<25%,<75%,<25%,<25%,<25%,<25%,Mosquito nets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),0,Burning,No,None,No,No,"Yes, on site",Yes,Irregular,Cash (personal money),No,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,>75%,Daily labourer,15,Yes,Yes,Yes,"Friends, neighbors and family",Distribution,No
24,NG002,ADAMAWA,NG002020,YOLA NORTH,NG002020005,JAMBUTU,AD_S028,HULLERE,12.4091,9.29585,Click to open on google map,Informal,Spontaneous,Collective Settlement/Centre,"12,007 sq.m",None,NULL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Private Building,Self-made/makeshift shelter,6,32,1,1,1,6,11,0,6,6,0,0,No,Insurgency ,None,Place of origin,Improved security ,NULL,None,<75%,<25%,<25%,None,<25%,None,<75%,Blankets/Mats,Off-site (<10 mn),Water truck,5 - 10 ltr,No,Yes,Not so good (Not hygienic),1,Burning,No,None,No,No,"Yes, on site",Yes,Irregular,Cash (personal money),No,Fever,No,Yes,Off-site (<3 km),Government,Yes,On-site,<75%,Collecting firewood,4,Yes,No,Yes,"Friends, neighbors and family",Distribution,No
